"genes","T_Penn_3","T_Penn_6","T_Penn_8","T_Penn_9","T_Penn_14","T_Penn_16","T_Penn_27","PT_Penn_15","PT_Penn_17","PT_Penn_18","PT_Penn_24","PT_Penn_25","PT_Penn_28","PT_Penn_4","PT_Penn_10"
"KLF9",6.93236095417016,38.536913947874,4.17059397599406,7.31670198194823,7.06056790501183,13.7447254616041,0,50.3535538818993,43.4971726837756,46.9060521150926,11.3382541356282,118.222758490405,109.295589922947,23.5424293432839,50.7629059645742
"C15orf54",6.93236095417016,8.83137611305446,0,4.39002118916894,2.35352263500394,1.24952049650946,0,17.9834121006783,19.3320767483447,24.6873958500488,0,91.4093493482513,0,47.0848586865679,11.4300582966591
"APOE",20.7970828625105,7.22567136522638,45.8765337359347,35.1201695133515,9.41409054001577,2.49904099301893,0,0,0,0,0,2.4375826492867,0,0,3.69796003715441
"VCAN",83.1883314500419,378.946320487428,58.3883156639169,99.507146954496,54.1310206050907,46.2322583708502,82.5205063458269,215.80094520814,517.13305301822,772.715490106526,997.766363935281,249.852221551887,382.534564730313,35.3136440149259,633.359700908992
"TRAPPC3L",6.93236095417016,32.9169473304757,0,11.7067231711172,0,8.74664347556625,16.5041012691654,28.7734593610853,26.5816055289739,54.3122708701073,79.3677789493974,106.034845243972,54.6477949614733,35.3136440149259,79.3380517062219
"IGHA1",27.7294438166806,10.4370808608825,6.25589096399109,19.0234251530654,25.8887489850434,849.673937626436,214.55331649915,7.19336484027133,19.3320767483447,2.46873958500488,0,9.75033059714681,0,11.771214671642,58.158826038883
"RAB11A",339.685686754338,488.937095713651,175.164946991751,431.685416934946,150.625448640252,188.677594972929,610.651746959119,406.42511347533,913.440626359287,881.340031846741,1451.29652936041,1514.95761653169,655.77353953768,682.730450955234,812.206495433187
"CLCN3",20.7970828625105,217.572993330705,43.7912367479376,114.140550918392,75.3127243201262,84.9673937626436,148.536911422488,187.027485847055,277.898603257455,311.061187710614,272.118099255077,459.484329390543,109.295589922947,176.568220074629,447.453164495684
"RP11-367G6.3",13.8647219083403,16.8598998521949,0,23.4134463422343,9.41409054001577,23.7408894336798,33.0082025383308,43.160189041628,94.2438741481804,76.5309271351511,56.691270678141,91.4093493482513,0,11.771214671642,104.215237410715
"GCLC",173.309023854254,21.6770140956791,64.6442066279079,111.213870125613,188.281810800315,118.704447168399,0,53.950236302035,31.4146247160601,17.2811770950341,22.6765082712564,18.2818698696503,0,11.771214671642,39.3328476679151
"AVPR1A",0,1.60570474782808,6.25589096399109,1.46334039638965,0,0,0,3.59668242013567,7.24952878062926,39.499833360078,34.0147624068846,17.0630785450069,0,0,25.8857202600809
"CYP1B1",13.8647219083403,4.01426186957021,8.34118795198812,11.7067231711172,4.70704527000788,1.24952049650946,0,46.7568714617637,4.83301918708617,32.0936146050634,45.3530165425128,130.410671736839,54.6477949614733,11.771214671642,8.74063281509225
"MOB1B",117.850136220893,75.4681231479199,41.7059397599406,144.870699242575,68.2521564151143,102.460680713776,33.0082025383308,53.950236302035,331.061814315403,259.217656425512,226.765082712564,355.887066795859,109.295589922947,141.254576059704,306.930683083816
"MAP3K7CL",62.3912485875315,465.654376870144,298.197469283575,714.110113438148,56.4845432400946,142.445336602079,1138.78298757241,489.148809138451,1418.49113140979,1752.80510535346,3605.56481512977,2046.35063407619,1530.13825892125,1577.34276600002,800.776437136528
"PPBP",1019.05706026301,3060.47324936033,952.980723514643,2432.07173879959,647.218724626084,924.645167417004,3366.83665890974,2826.99238222663,4364.21632593881,6233.56745213731,9535.47172806331,5519.90590930974,8743.64719383573,2248.30200228362,5015.77852312217
"CCDC80",152.511940991744,3.21140949565617,100.094255423857,1.46334039638965,2.35352263500394,2.49904099301893,0,3.59668242013567,7.24952878062926,2.46873958500488,0,2.4375826492867,0,0,1.34471274078342
